date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:32:24	99102/99102	---M-Z	200	added ('OK')	text/html	etag:%2221c994e-1831e-5f671848eca18-gzip%22	http://admin.pixelstrap.com/xolo/theme/index.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/index.html	(from )
10:32:25	31/31	---M--	200	added ('OK')	text/plain	etag:%221c50d5f-1f-5780a2ed01e0d%22	http://admin.pixelstrap.com/robots.txt		(from )
10:32:25	15920/15920	---M-Z	200	added ('OK')	image/png	etag:%221c42088-3e30-5a65a2b57e000-gzip%22	http://admin.pixelstrap.com/xolo/assets/images/favicon.png	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/assets/images/favicon.png	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:25	38203/38203	---M-Z	200	added ('OK')	text/css	etag:%221cc14cb-953b-5eec41cc18ac0-gzip%22	http://admin.pixelstrap.com/xolo/assets/css/fontawesome.css	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/assets/css/fontawesome.css	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:25	112792/112792	---M-Z	200	added ('OK')	text/css	etag:%221cc14c6-1b898-5eec41cc18ac0-gzip%22	http://admin.pixelstrap.com/xolo/assets/css/icofont.css	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/assets/css/icofont.css	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:26	22970/22970	---M-Z	200	added ('OK')	text/css	etag:%221cc14ec-59ba-5eec41cfe93c0-gzip%22	http://admin.pixelstrap.com/xolo/assets/css/themify.css	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/assets/css/themify.css	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:26	41117/41117	---M-Z	200	added ('OK')	text/css	etag:%221cc14dd-a09d-5eec41cb24880-gzip%22	http://admin.pixelstrap.com/xolo/assets/css/flag-icon.css	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/assets/css/flag-icon.css	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:26	2643/2643	---M-Z	200	added ('OK')	text/css	etag:%221cc14ed-a53-5eec41cb24880-gzip%22	http://admin.pixelstrap.com/xolo/assets/css/feather-icon.css	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/assets/css/feather-icon.css	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:27	13834/13834	---M-Z	200	added ('OK')	text/css	etag:%221cc14bb-360a-5eec41c28f440-gzip%22	http://admin.pixelstrap.com/xolo/assets/css/chartist.css	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/assets/css/chartist.css	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:27	3628/3628	---M-Z	200	added ('OK')	text/css	etag:%221cc14b1-e2c-5eec41cd0cd00-gzip%22	http://admin.pixelstrap.com/xolo/assets/css/prism.css	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/assets/css/prism.css	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:27	234478/234478	---M-Z	200	added ('OK')	text/css	etag:%221cc14c3-393ee-5eec41c28f440-gzip%22	http://admin.pixelstrap.com/xolo/assets/css/bootstrap.css	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/assets/css/bootstrap.css	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:28	0/0	---M--	200	added ('OK')	text/css	etag:%221cc14d8-0-5a582dc113500%22	http://admin.pixelstrap.com/xolo/assets/css/color-1.css	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/assets/css/color-1.b.delayed	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:29	99610/99610	---M-Z	200	added ('OK')	text/css	etag:%221cc14cf-1851a-5eec41cd0cd00-gzip%22	http://admin.pixelstrap.com/xolo/assets/css/responsive.css	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/assets/css/responsive.css	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:31	2666/2666	---M-Z	200	added ('OK')	image/png	etag:%221c4208d-a6a-5a65a2b57e000-gzip%22	http://admin.pixelstrap.com/xolo/assets/images/logo/logo.png	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/assets/images/logo/logo.png	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:33	3820/3820	---M-Z	200	added ('OK')	image/jpeg	etag:%221c42146-eec-5a65a2b57e000-gzip%22	http://admin.pixelstrap.com/xolo/assets/images/user/4.jpg	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/assets/images/user/4.jpg	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:33	13061/13061	---M-Z	200	added ('OK')	image/jpeg	etag:%221c4214d-3305-5a65a2b57e000-gzip%22	http://admin.pixelstrap.com/xolo/assets/images/user/2.jpg	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/assets/images/user/2.jpg	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:34	73654/73654	---M-Z	200	added ('OK')	text/html	etag:%2221c1ade-11fb6-5edbcae739c00-gzip%22	http://admin.pixelstrap.com/xolo/theme/dashboard-02.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/dashboard-02.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:35	79743/79743	---M-Z	200	added ('OK')	text/html	etag:%2221c1ae2-1377f-5edbd9884dfc0-gzip%22	http://admin.pixelstrap.com/xolo/theme/dashboard-03.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/dashboard-03.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:35	20067/20067	---M-Z	200	added ('OK')	image/jpeg	etag:%221c4214c-4e63-5a65a2b57e000-gzip%22	http://admin.pixelstrap.com/xolo/assets/images/user/1.jpg	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/assets/images/user/1.jpg	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:35	69788/69788	---M-Z	200	added ('OK')	text/html	etag:%2221c1af9-1109c-5eb0e932fb4c0-gzip%22	http://admin.pixelstrap.com/xolo/theme/dashboard-04.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/dashboard-04.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:36	1180864/1180864	---MCZ	200	added ('OK')	text/css	etag:%221c4621f-1204c0-5f6719c7f251d-gzip%22	http://admin.pixelstrap.com/xolo/assets/css/style.css	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/assets/css/style.css	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:36	4486/4486	---M-Z	200	added ('OK')	image/png	etag:%221c42172-1186-5a65a2b57e000-gzip%22	http://admin.pixelstrap.com/xolo/assets/images/dashboard/user.png	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/assets/images/dashboard/user.png	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:36	92219/92219	---M-Z	200	added ('OK')	text/html	etag:%2221c1c94-1683b-5edca2cb83640-gzip%22	http://admin.pixelstrap.com/xolo/theme/general-widget.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/general-widget.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:36	59838/59838	---M-Z	200	added ('OK')	text/html	etag:%2221c1aaf-e9be-5edf8c0b03900-gzip%22	http://admin.pixelstrap.com/xolo/theme/chart-widget.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/chart-widget.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:37	57350/57350	---M-Z	200	added ('OK')	text/html	etag:%2221c6347-e006-5eb394ef69780-gzip%22	http://admin.pixelstrap.com/xolo/theme/typography.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/typography.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:37	48917/48917	---M-Z	200	added ('OK')	text/html	etag:%2221c18a9-bf15-5edf6d06b8b80-gzip%22	http://admin.pixelstrap.com/xolo/theme/avatars.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/avatars.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:38	60574/60574	---M-Z	200	added ('OK')	text/html	etag:%2221c2232-ec9e-5edf6db53e740-gzip%22	http://admin.pixelstrap.com/xolo/theme/helper-classes.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/helper-classes.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:38	53786/53786	---M-Z	200	added ('OK')	text/html	etag:%2221c1ca6-d21a-5ee87260dfd80-gzip%22	http://admin.pixelstrap.com/xolo/theme/grid.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/grid.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:38	46431/46431	---M-Z	200	added ('OK')	text/html	etag:%2221c6302-b55f-5edf6ee1a6c00-gzip%22	http://admin.pixelstrap.com/xolo/theme/tag-pills.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/tag-pills.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:38	52009/52009	---M-Z	200	added ('OK')	text/html	etag:%2221c62a0-cb29-5edf6f6afb000-gzip%22	http://admin.pixelstrap.com/xolo/theme/progress-bar.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/progress-bar.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:39	59332/59332	---M-Z	200	added ('OK')	text/html	etag:%2221c62a1-e7c4-5eec3ee252b40-gzip%22	http://admin.pixelstrap.com/xolo/theme/modal.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/modal.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:39	73644/73644	---M-Z	200	added ('OK')	text/html	etag:%2221c187b-11fac-5ee20b5527f00-gzip%22	http://admin.pixelstrap.com/xolo/theme/alert.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/alert.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:39	45015/45015	---M-Z	200	added ('OK')	text/html	etag:%2221c6286-afd7-5edf70188c980-gzip%22	http://admin.pixelstrap.com/xolo/theme/popover.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/popover.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:40	41399/41399	---M-Z	200	added ('OK')	text/html	etag:%2221c6283-a1b7-5edf704376ec0-gzip%22	http://admin.pixelstrap.com/xolo/theme/tooltip.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/tooltip.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:40	49350/49350	---M-Z	200	added ('OK')	text/html	etag:%2221c6275-c0c6-5edf709e10480-gzip%22	http://admin.pixelstrap.com/xolo/theme/loader.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/loader.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:40	53882/53882	---M-Z	200	added ('OK')	text/html	etag:%2221c1b64-d27a-5eb87ec78b800-gzip%22	http://admin.pixelstrap.com/xolo/theme/dropdown.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/dropdown.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:40	67463/67463	---M-Z	200	added ('OK')	text/html	etag:%2221c17d8-10787-5edf70cdbf500-gzip%22	http://admin.pixelstrap.com/xolo/theme/according.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/according.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:41	93283/93283	---M-Z	200	added ('OK')	text/html	etag:%2221c62fa-16c63-5eec2031f43c0-gzip%22	http://admin.pixelstrap.com/xolo/theme/tab-bootstrap.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/tab-bootstrap.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:41	72867/72867	---M-Z	200	added ('OK')	text/html	etag:%2221c62ff-11ca3-5eb1084d35600-gzip%22	http://admin.pixelstrap.com/xolo/theme/tab-material.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/tab-material.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:41	53618/53618	---M-Z	200	added ('OK')	text/html	etag:%2221c7389-d172-5edf73685d9c0-gzip%22	http://admin.pixelstrap.com/xolo/theme/navs.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/navs.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
10:32:42	43205/43205	---M-Z	200	added ('OK')	text/html	etag:%2221c1980-a8c5-5eb8a0b96ce00-gzip%22	http://admin.pixelstrap.com/xolo/theme/box-shadow.html	D:/LUU%20C%202021/test%20chung%20khoan/admin.pixelstrap.com/xolo/theme/box-shadow.html	(from http://admin.pixelstrap.com/xolo/theme/index.html)
